budget,genres,original_language,revenue,runtime,vote_average,director
140000000,Action Comedy Crime Thriller,en,258022233,91.0,6.1,Brett Ratner
200000000,Action Adventure Science Fiction,en,769653595,158.0,5.6,Roland Emmerich
200000000,Animation Drama,en,325233863,96.0,6.6,Robert Zemeckis
176000003,Science Fiction Fantasy Action Adventure,en,183987723,124.0,5.2,Lilly Wachowski
180000000,Action Adventure,en,356743061,109.0,5.5,David Yates
180000000,Adventure Family Fantasy,en,748806957,143.0,6.7,Andrew Adamson
178000000,Science Fiction,en,543934787,144.0,6.4,Bryan Singer
185000000,Drama Action Crime Thriller,en,1004558444,152.0,8.2,Christopher Nolan
175000000,Animation Comedy Family Adventure,en,735099082,96.0,7.7,Pete Docter
175000000,Animation Family Adventure Science Fiction,en,381509870,94.0,6.0,Conrad Vernon
140000000,Action Science Fiction Adventure,en,585174222,126.0,7.4,Jon Favreau
170000000,Adventure Drama Family,en,185770160,126.0,7.0,Martin Scorsese
170000000,Action Adventure Comedy Science Fiction Western,en,222104681,106.0,5.1,Barry Sonnenfeld
145000000,Adventure Action Fantasy,en,401128639,112.0,5.2,Rob Cohen
175000000,Action Adventure Crime Fantasy Science Fiction,en,745000000,123.0,5.9,David Ayer
175000000,Fantasy Comedy Family,en,173000000,96.0,5.3,Tom Shadyac
178000000,Action Science Fiction,en,370541256,113.0,7.6,Doug Liman
175000000,Adventure Action,en,264218220,135.0,5.9,Kevin Reynolds
175000000,Adventure Action Thriller Science Fiction,en,302469017,118.0,5.6,Stephen Sommers
175000000,Drama Comedy Animation Family,en,857611174,94.0,8.0,Pete Docter
175000000,Family Adventure Drama Fantasy,en,966550600,106.0,6.7,Jon Favreau
200000000,Adventure Action Science Fiction,en,623933331,124.0,6.6,Jon Favreau
170000000,Adventure Fantasy Drama,en,396600000,127.0,5.8,Rupert Sanders
180000000,Fantasy Adventure Action Family Romance,en,758539785,97.0,7.0,Robert Stromberg
170000000,Science Fiction Action Drama Thriller,en,710644566,130.0,7.3,Matt Reeves
27000000,Action Adventure Science Fiction Romance,en,0,109.0,4.8,Roland Joff\u00e9
175000000,Drama Action Adventure Fantasy,en,150962475,119.0,5.9,Carl Rinsch
170000000,Action Adventure Science Fiction,en,714766572,136.0,7.6,Anthony Russo
165000000,Comedy Adventure Fantasy Animation Family,en,752600867,93.0,6.0,Mike Mitchell
190000000,Adventure Family Mystery Science Fiction,en,209154322,130.0,6.2,Brad Bird
165000000,Adventure Family Animation Action Comedy,en,652105443,102.0,7.8,Chris Williams
165000000,Family Animation Comedy Adventure,en,471222889,108.0,7.1,Rich Moore
165000000,Adventure Animation Family Fantasy,en,305875730,100.0,6.4,Robert Zemeckis
165000000,Action Adventure Science Fiction,en,389681935,120.0,4.9,Roland Emmerich
165000000,Fantasy Adventure Animation Family,en,494878759,98.0,7.5,Chris Sanders
200000000,Action Thriller Science Fiction,en,435000000,109.0,5.9,Jonathan Mostow
170000000,Action Science Fiction Adventure,en,773328629,121.0,7.9,James Gunn
165000000,Adventure Drama Science Fiction,en,675120017,169.0,8.1,Christopher Nolan
160000000,Action Thriller Science Fiction Mystery Adventure,en,825532764,148.0,8.1,Christopher Nolan
15000000,Action Adventure Drama Horror Science Fiction,ja,77000000,120.0,6.5,Hideaki Anno
250000000,Adventure Fantasy Action,en,1021103568,169.0,7.0,Peter Jackson
38000000,Action Crime Thriller,en,207283925,106.0,6.6,Rob Cohen
150000000,Fantasy Drama Thriller Mystery Romance,en,333932083,166.0,7.3,David Fincher
160000000,Action Science Fiction Adventure,en,353624124,132.0,7.1,Matthew Vaughn
160000000,Action Adventure Science Fiction,en,653428261,137.0,6.6,Francis Lawrence
150000000,Fantasy Adventure Action Comedy Drama,en,215283742,109.0,5.8,Jon Turteltaub
160000000,Adventure Action Drama Thriller,en,181674817,99.0,5.5,Wolfgang Petersen
170000000,Fantasy,en,299370084,113.0,6.5,James Bobin
160000000,Fantasy Adventure Animation Comedy Family,en,798958165,93.0,6.0,Chris Miller
160000000,Action Adventure Fantasy,en,433677183,123.0,6.3,Duncan Jones
155000000,Science Fiction Action Thriller Adventure,en,440603537,126.0,5.8,Alan Taylor
155000000,Adventure Family Fantasy,en,415686217,113.0,6.2,Michael Apted
140000000,History Romance War,en,449220945,183.0,6.6,Michael Bay
150000000,Adventure Science Fiction Action,en,709709780,144.0,6.6,Michael Bay
155000000,War History Action Adventure Drama,en,167298192,175.0,5.6,Oliver Stone
150000000,Adventure Fantasy Family Mystery,en,938212738,138.0,7.4,David Yates
150000000,Adventure Fantasy Family,en,895921036,157.0,7.5,Mike Newell
150000000,Fantasy Action,en,624029371,92.0,6.2,Peter Berg
150000000,Drama Horror Action Thriller Science Fiction,en,585349010,101.0,6.9,Francis Lawrence
150000000,Adventure Comedy Family Fantasy,en,474968763,115.0,6.7,Tim Burton
150000000,Animation Comedy Family Fantasy,en,623722818,111.0,7.5,Jan Pinkava
150000000,Action Crime Drama,en,374218673,140.0,7.5,Christopher Nolan
150000000,Family Animation,en,603900354,89.0,6.2,Eric Darnell
150000000,Adventure Fantasy Action Comedy Family,en,413106170,105.0,5.9,Shawn Levy
150000000,Adventure Action Thriller Science Fiction,en,373062864,107.0,6.2,Gavin Hood
150000000,Adventure Action Thriller Science Fiction,en,424988211,129.0,6.4,Lilly Wachowski
150000000,Animation Adventure Family,en,1274219009,102.0,7.3,Chris Buck
150000000,Adventure Action Thriller Science Fiction,en,738599701,138.0,6.7,Lilly Wachowski
170000000,Action Adventure Fantasy,en,644571402,112.0,6.8,Alan Taylor
150000000,Action Adventure Science Fiction Thriller,en,378858340,120.0,7.2,George Miller
150000000,Thriller Mystery,en,356613439,138.0,6.5,Ron Howard
150000000,Adventure Fantasy Action,en,449326618,115.0,6.6,Kenneth Branagh
150000000,Animation Family Adventure Comedy,en,309979994,98.0,6.3,Chris Williams
150000000,Fantasy Action Adventure Family Comedy,en,292817841,88.0,5.1,Hoyt Yeatman
150000000,Adventure,en,301000000,99.0,5.5,Jonathan Liebesman
150000000,Comedy Fantasy,en,245527149,113.0,5.7,Tim Burton
150000000,Action Adventure Thriller,en,682330139,131.0,7.1,Christopher McQuarrie
150000000,Drama Horror Thriller,en,0,102.0,5.5,Joe Johnston
150000000,Family Animation Adventure Comedy,en,287594577,91.0,5.7,Steve Hickner
150000000,Animation Family,en,665692281,91.0,6.7,Jennifer Yuh Nelson
150000000,Action Adventure Family Fantasy,en,318502923,103.0,4.7,M. Night Shyamalan
150000000,Adventure Action Thriller,en,397850012,126.0,6.5,J.J. Abrams
150000000,Action Drama Thriller,en,205366737,131.0,6.4,Roland Emmerich
150000000,Adventure Animation Family,en,38992758,88.0,5.5,Simon Wells
149000000,Adventure Animation Comedy Family,en,64459316,85.0,6.0,David Bowers
150000000,Adventure Family Fantasy,en,128388320,111.0,5.9,Joe Wright
145000000,Animation Adventure Family,en,272912430,92.0,6.7,Rob Minkoff
175000000,Adventure Drama War,en,497409852,163.0,6.9,Wolfgang Petersen
145000000,Animation Family,en,746921274,93.0,6.4,Conrad Vernon
140000000,Adventure Action Thriller,en,431971116,133.0,5.8,Lee Tamahori
144000000,Action Fantasy Comedy,en,229147509,116.0,5.3,Paul Feig
140000000,Action Thriller Science Fiction Adventure,en,553799566,151.0,6.4,Michael Bay
140000000,Action Adventure Comedy Science Fiction,en,441818803,88.0,6.0,Barry Sonnenfeld
70000000,Adventure Action Animation,en,195735876,115.0,5.5,Robert Zemeckis
145000000,Action Adventure Animation Comedy Family,en,521170825,95.0,6.7,Jennifer Yuh Nelson
145000000,Action Thriller Adventure,en,694713380,133.0,6.8,Brad Bird
145000000,Fantasy Animation Family,en,306941670,97.0,7.1,Peter Ramsey
100000000,Comedy,en,202026112,90.0,5.9,Dean Parisot
140000000,Drama Action War History,en,456758981,154.0,7.3,Edward Zwick
140000000,Adventure Drama Action,en,268031828,150.0,5.6,Ridley Scott
150000000,Science Fiction Action Adventure,en,385680446,127.0,7.4,J.J. Abrams
139000000,Fantasy Action,en,821708551,121.0,6.8,Sam Raimi
145000000,Fantasy Action Adventure Animation Comedy,en,609123048,102.0,7.6,Dean DeBlois
140000000,Fantasy,en,150680864,127.0,5.3,Alex Proyas
135000000,Action,en,76932943,121.0,4.9,Rob Cohen
130000000,Action Mystery Science Fiction,en,185258983,163.0,7.0,Zack Snyder
140000000,Action Adventure Comedy Crime Thriller,en,285444603,127.0,6.3,Richard Donner
137000000,Drama Action Science Fiction,en,245360480,138.0,5.3,Ang Lee
130000000,Adventure Action Science Fiction Thriller,en,371876278,110.0,5.4,Jon M. Chu
130000000,Action Adventure Comedy Drama Mystery,en,119269486,124.0,5.7,Breck Eisner
137000000,Adventure Action Animation Fantasy Science Fiction,en,85131830,106.0,5.9,Hironobu Sakaguchi
140000000,Action Adventure Science Fiction,en,370569774,124.0,6.6,Joe Johnston
135000000,Adventure Action Thriller,en,361832400,128.0,6.0,Michael Apted
150000000,Adventure,en,212011111,138.0,6.9,Peter Weir
120000000,Adventure Fantasy Drama Romance,en,829000000,115.0,6.1,Bill Condon
130000000,Animation Comedy Family,en,150406466,100.0,5.8,George Miller
150000000,Science Fiction Action Adventure,en,163712074,114.0,6.1,Louis Leterrier
140000000,Adventure Family Fantasy,en,183345589,120.0,6.0,Steven Spielberg
135000000,Western Drama Adventure Thriller,en,532950503,156.0,7.3,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
135000000,Animation Family,en,282570682,96.0,6.1,David Soren
135000000,Animation Comedy Family Western Adventure,en,245724603,107.0,6.6,Gore Verbinski
132000000,Family Animation Adventure Comedy,en,373552094,92.0,6.5,Eric Darnell
70000000,Action Drama Mystery Thriller,en,442824138,115.0,7.3,Paul Greengrass
130000000,Adventure Animation Family Comedy,en,631744560,90.0,6.9,Mark Osborne
130000000,Science Fiction Action Adventure,en,519311965,117.0,7.0,Peyton Reed
130000000,Adventure Action Science Fiction,en,847423452,146.0,7.4,Francis Lawrence
135000000,Fantasy Comedy Animation Science Fiction Family,en,368871007,94.0,6.8,Tim Johnson
132000000,Adventure Thriller Science Fiction,en,591739379,116.0,6.2,Steven Spielberg
130000000,Adventure Action Comedy Thriller Crime,en,273339556,147.0,6.3,Michael Bay
130000000,Action Adventure Animation Family Fantasy,en,554987477,90.0,6.4,Chris Miller
110000000,Action Mystery Thriller,en,293329073,100.0,6.2,Phillip Noyce
125000000,Drama Adventure,en,362637473,139.0,5.6,Darren Aronofsky
130000000,Adventure Animation Mystery,en,371940071,107.0,6.7,Steven Spielberg
130000000,Adventure Fantasy Family,en,789804554,141.0,7.7,Alfonso Cuar\u00f3n
130000000,Drama,en,49554002,165.0,6.3,Baz Luhrmann
130000000,Science Fiction Action Adventure,en,243843127,100.0,5.0,M. Night Shyamalan
127500000,Animation Family,en,354248063,82.0,6.2,Ralph Zondag
127000000,Adventure Comedy Fantasy Family,en,349424282,97.0,6.1,Shawn Levy
130000000,Animation Action Comedy Family Science Fiction,en,321887208,95.0,6.7,Tom McGrath
125000000,Adventure Fantasy Family,en,976475550,152.0,7.5,Chris Columbus
130000000,Fantasy Action Comedy Crime,en,61648500,96.0,5.4,Robert Schwentke
140000000,Adventure Fantasy Action,en,655011224,143.0,7.5,Gore Verbinski
125000000,Science Fiction Adventure Thriller,en,752100229,123.0,6.6,Francis Lawrence
125000000,Thriller Mystery,en,767820459,149.0,6.5,Ron Howard
103000000,Animation Adventure Comedy Family,en,500188435,102.0,6.3,Carlos Saldanha
110000000,Adventure Action Science Fiction Thriller,en,407711549,133.0,6.8,Bryan Singer
125000000,Action Thriller Crime,en,626137675,130.0,7.1,Justin Lin
125000000,Adventure Action Crime Mystery,en,334615000,129.0,7.0,Guy Ritchie
125000000,Adventure Fantasy Action,en,232713139,106.0,5.6,Louis Leterrier
65000000,Action Adventure Science Fiction,en,261317921,113.0,7.1,Paul Verhoeven
160000000,Adventure Fantasy Action,en,61698899,102.0,6.4,John McTiernan
130000000,Action Thriller,en,276572938,120.0,6.0,Tony Gilroy
125000000,Action Crime Fantasy,en,238207122,125.0,4.2,Joel Schumacher
123000000,Family Comedy Fantasy,en,345141403,104.0,6.2,Ron Howard
125000000,Action Adventure Science Fiction Thriller,en,544272402,124.0,6.2,Roland Emmerich
125000000,Adventure Action Thriller,en,546388105,123.0,5.9,John Woo
120000000,Drama,en,325756637,130.0,6.2,Wolfgang Petersen
130000000,Adventure Fantasy Action Thriller,en,289047763,92.0,5.4,Tim Story
120000000,Adventure Drama Action,en,609016565,127.0,7.2,Ang Lee
110000000,Thriller Action Fantasy Horror,en,228738393,114.0,5.2,Mark Steven Johnson
