budget,genres,original_language,revenue,runtime,vote_average,director
65000000,Drama War,en,163442937,137.0,7.3,Angelina Jolie
65000000,Action Adventure Thriller,en,128884132,130.0,6.3,Clint Eastwood
70000000,Action Adventure Thriller,en,255000211,112.0,6.1,Renny Harlin
50000000,Action Adventure Drama Thriller,en,150270147,108.0,5.7,John Woo
65000000,Fantasy Comedy Family,en,69700000,104.0,6.0,Jon Turteltaub
63000000,Drama History Thriller,en,162945894,128.0,5.9,Oliver Stone
65000000,Drama Romance,en,0,117.0,6.5,Mike Newell
65000000,Comedy,en,179379533,83.0,5.9,Larry Charles
65000000,Mystery Drama,en,162091208,159.0,7.1,Stanley Kubrick
65000000,Comedy Drama Family,en,133821816,119.0,6.0,Will Gluck
50100000,Romance Comedy Crime Drama,en,153962963,105.0,6.7,Glenn Ficarra
65000000,Action Comedy Romance,en,156974557,103.0,5.9,McG
65000000,Science Fiction Action Horror Thriller Adventure,en,128905366,123.0,5.7,David S. Goyer
4200000,Action Thriller,en,38376497,114.0,6.4,John Milius
65000000,Comedy Drama,en,0,143.0,6.1,Mike Nichols
65000000,Action Horror Science Fiction,en,240159255,95.0,5.6,Paul W.S. Anderson
45000000,Action Thriller Science Fiction,en,73762516,105.0,6.0,Paul W.S. Anderson
65000000,Crime Action Mystery Thriller,en,89456761,120.0,6.5,Renny Harlin
65000000,Action Adventure Drama Romance Thriller,en,0,135.0,6.0,Taylor Hackford
65000000,Family Fantasy Science Fiction Adventure,en,64321501,101.0,6.1,Jon Favreau
63000000,Drama,en,100853753,139.0,8.3,David Fincher
65000000,Drama,en,43545364,124.0,6.7,McG
65000000,Action Adventure Comedy,en,17218080,100.0,5.4,Michael Lehmann
65000000,Action Adventure Comedy Crime Romance,en,0,105.0,4.9,Nora Ephron
65000000,Horror Thriller,en,71154592,92.0,5.0,Stuart Beattie
50000000,Crime Drama Family,en,42093706,130.0,6.7,Roman Polanski
43000000,Action Fantasy,en,56681566,97.0,4.8,Rob Bowman
65000000,Crime Thriller,en,39407616,102.0,6.3,Robert Rodriguez
64000000,Drama Romance,en,74608570,133.0,5.3,Sydney Pollack
55000000,Adventure Drama,en,203427584,121.0,6.7,Baltasar Korm\u00e1kur
50000000,Crime Fantasy Drama,en,132180323,147.0,7.1,Tom Tykwer
63000000,Comedy Crime Science Fiction,en,296655431,94.0,5.9,Jay Roach
65000000,Animation Action Family Science Fiction,en,44091067,94.0,6.1,David Bowers
63000000,Adventure Science Fiction,en,920100000,127.0,7.6,Steven Spielberg
63000000,Drama Action Western,en,25052000,191.0,6.5,Lawrence Kasdan
62000000,Action Drama Thriller,en,215887717,141.0,6.4,Phillip Noyce
65000000,Action Drama Adventure,zh,121545703,127.0,5.9,Daniel Lee
64000000,Comedy Crime,en,101595121,98.0,5.3,Keenen Ivory Wayans
62000000,Action Drama Thriller War,en,127666415,116.0,6.1,Jonathan Mostow
62000000,Comedy Drama Romance,en,107879496,106.0,6.5,Rob Reiner
62000000,Comedy Romance,en,41819064,87.0,4.3,Marco Schnabel
62000000,Action Adventure Comedy Thriller Crime,en,18720175,125.0,5.8,Demian Lichtenstein
44000000,Crime Drama Mystery Western,en,155760117,167.0,7.6,Quentin Tarantino
53000000,Action Comedy Drama,en,0,93.0,5.9,Josh Gordon
63000000,Animation Comedy Family,en,183953723,95.0,5.5,Tim Hill
65000000,Action Adventure War,en,422610419,117.0,7.0,Zack Snyder
80000000,Comedy Romance,en,516642939,115.0,6.1,Jay Roach
60000000,Comedy Family,en,244082376,115.0,6.9,David Frankel
60000000,Fantasy Drama Crime,en,284600000,189.0,8.2,Frank Darabont
0,Action Adventure Comedy,en,253625427,100.0,5.6,Walt Becker
150000000,Animation Family Comedy,en,314432665,81.0,5.6,Mark Dindal
61000000,Mystery Thriller Drama,en,369330363,145.0,7.9,David Fincher
60000000,Action Drama Mystery Thriller,en,214034224,119.0,7.3,Doug Liman
58000000,Adventure Action Thriller,en,352194034,130.0,6.6,Martin Campbell
60000000,Crime Drama Mystery Thriller,en,149705852,116.0,6.1,Simon West
60000000,Comedy Drama,en,264118201,103.0,7.8,Peter Weir
70000000,Adventure Animation Drama Family Music,en,218613188,99.0,6.8,Simon Wells
60000000,Comedy Family,en,164433867,92.0,5.6,Steve Carr
61000000,Action Comedy Crime,en,131940411,109.0,6.6,Baltasar Korm\u00e1kur
60000000,Comedy Family,en,93375151,87.0,5.0,Lawrence Guterman
60000000,Action Crime,en,176070171,110.0,6.6,F. Gary Gray
60000000,Romance Comedy,en,93354918,101.0,5.9,Marc Lawrence
60000000,Adventure Animation Comedy Family,en,171757863,83.0,6.0,Eric Darnell
70000000,Comedy Romance,en,171844840,113.0,5.3,Peter Billingsley
60000000,Adventure,en,157920733,107.0,5.9,Tony Scott
60000000,Comedy,en,129181830,94.0,5.7,Adam Shankman
61000000,Action,en,311256926,132.0,6.4,Wes Ball
60000000,Drama,en,204594016,133.0,5.8,Ryan Murphy
60000000,Comedy Drama Romance Fantasy,en,0,125.0,6.5,Brett Ratner
58000000,Action Adventure Comedy Crime Thriller,en,71664962,111.0,6.6,Robert Schwentke
55000000,Drama,en,100230832,163.0,6.8,Oliver Stone
60000000,Drama Romance,en,186883563,170.0,6.7,Robert Redford
65000000,Drama Crime Thriller,en,217764291,120.0,7.0,Michael Mann
60000000,Action Fantasy Adventure,en,165333180,92.0,5.3,Chuck Russell
60000000,Drama Action Thriller,en,74541707,115.0,6.2,Jay Russell
60000000,Crime Drama Thriller,en,218340595,130.0,6.3,Christopher McQuarrie
60000000,Action Science Fiction Thriller,en,73648228,105.0,5.6,Renny Harlin
60000000,Music Documentary,en,0,111.0,6.7,Kenny Ortega
60000000,Drama Thriller Science Fiction,en,137551594,106.0,6.2,Steven Soderbergh
0,Comedy Adventure Crime,en,0,89.0,4.3,David McNally
60000000,Animation Family,en,124596398,100.0,7.3,Henry Selick
60000000,Thriller Science Fiction,en,163403799,91.0,4.9,M. Night Shyamalan
70000000,Action Drama Thriller Crime,en,130293714,146.0,7.3,Tony Scott
50000000,Comedy Family,en,61112916,98.0,4.5,Brian Robbins
60000000,Comedy Crime,en,170268750,101.0,5.6,Todd Phillips
60000000,Family Comedy,en,129832389,89.0,5.5,Brian Levant
66000000,Fantasy Action Science Fiction,en,99318987,122.0,6.5,Guillermo del Toro
70000000,Drama,en,56702901,115.0,6.1,Steven Zaillian
60000000,Family Animation Adventure Comedy,en,107139399,90.0,6.7,Sam Fell
60000000,Action Thriller Adventure Crime,en,159330280,124.0,6.1,Michael Caton-Jones
60000000,Action Adventure Mystery Science Fiction Thriller,en,96269812,119.0,5.9,John Woo
60000000,Drama Romance,en,0,119.0,5.9,Jon Avnet
60000000,Adventure Animation Family,en,50877145,93.0,5.8,Robert Stevenhagen
0,Thriller Action Comedy Science Fiction,en,0,98.0,5.3,Kevin Donovan
60000000,Action Thriller,en,104324083,100.0,5.6,Geoff Murphy
60000000,Action Drama Thriller,en,50549107,105.0,5.9,Kenneth Branagh
60000000,Drama Comedy,en,101134059,124.0,6.4,David O. Russell
60000000,Action Crime Thriller,en,205754447,99.0,5.8,Babak Najafi
70000000,Science Fiction Horror Action,en,162000000,109.0,5.9,Jean-Pierre Jeunet
61000000,Action Drama Mystery Thriller Crime,en,95696996,124.0,6.9,Antoine Fuqua
60000000,Animation Comedy Family Fantasy,en,108255770,97.0,6.6,Anthony Stacchi
75000000,Drama Fantasy Comedy,en,46683377,104.0,6.3,Griffin Dunne
60000000,Adventure Animation Comedy Family Fantasy,en,469160692,100.0,7.5,Phil Lord
0,Action Comedy,en,0,115.0,5.3,John Pasquin
60000000,Adventure Action Fantasy,en,43061982,101.0,6.0,Rob Bowman
60000000,Crime Drama Action Thriller,en,105200903,113.0,6.2,Ruben Fleischer
60000000,Comedy Adventure,en,62357900,97.0,4.6,Harold Ramis
60000000,Drama History,en,122233971,134.0,7.0,Clint Eastwood
60000000,Action,en,87784194,127.0,6.7,Kevin Macdonald
78146652,Romance Comedy Crime,en,60000000,125.0,5.7,Tony Gilroy
65000000,Comedy Drama Family Science Fiction,en,36850101,94.0,5.1,Donald Petrie
60000000,Action Thriller Crime,en,77920346,108.0,5.8,Clark Johnson
70000000,Science Fiction Animation Family Comedy Adventure,en,104945765,91.0,5.6,Jorge Blanco
60000000,Science Fiction Action Adventure Thriller,en,67312826,117.0,6.1,Stuart Baird
60000000,Crime Comedy Romance,en,119940815,100.0,5.8,Joel Coen
0,Drama Romance,en,0,111.0,6.6,Robert Lorenz
80000000,Crime Drama Mystery Thriller,en,74901339,117.0,6.2,Martin Campbell
60000000,Horror Mystery Thriller,en,33956608,110.0,5.8,Peter Hyams
60000000,Comedy Crime,en,55003135,96.0,5.7,Harold Ramis
60000000,Action Crime Drama Thriller,en,73174566,101.0,5.9,Jon Avnet
60000000,Action Crime Drama Thriller,en,0,111.0,6.0,Harold Becker
60000000,Drama,en,31720158,109.0,6.6,Joe Wright
80000000,Fantasy Drama,en,39459427,126.0,6.3,Robert Redford
60000000,Drama Music,en,47383689,122.0,7.4,Cameron Crowe
0,Animation Comedy Family,en,141702264,78.0,5.1,Tim Hill
60000000,Action Adventure Crime Drama Mystery,en,71073932,101.0,4.7,Lee Tamahori
60000000,Action Science Fiction Fantasy Thriller Horror,en,78309131,87.0,5.4,Scott Stewart
60000000,Family Animation Adventure,en,26288320,86.0,6.6,Tim Johnson
60000000,Horror Science Fiction Mystery,en,26673242,96.0,6.5,Paul W.S. Anderson
60000000,Drama,en,52322400,104.0,6.1,Tom Shadyac
50000000,Drama,en,49111202,121.0,5.7,Brian De Palma
60000000,Action Adventure Drama History Romance,en,17800000,140.0,6.3,Tony Bill
72000000,Action Drama Thriller,en,27642707,131.0,7.0,Rod Lurie
90000000,Horror Science Fiction Thriller,en,14828081,91.0,4.9,Walter Hill
60000000,Drama Fantasy Mystery Romance,en,30800231,118.0,6.0,Akiva Goldsman
60000000,Action Adventure Drama Mystery Romance,en,90565421,130.0,6.2,Harald Zwart
60000000,Comedy Science Fiction Adventure Family,en,50650079,90.0,5.0,Brian Robbins
30000000,Drama Horror Thriller,en,25473093,105.0,5.3,Walter Salles
80000000,Comedy,en,0,122.0,5.7,Ron Howard
60000000,Adventure Family Fantasy,en,57490374,106.0,6.0,Iain Softley
60000000,Action Comedy Thriller Crime Science Fiction,en,39031337,103.0,4.7,Frank Miller
60000000,Comedy Adventure,en,30418560,106.0,5.4,David Koepp
60000000,Adventure Fantasy Action Drama,en,0,127.0,4.1,Uwe Boll
35000000,Drama Romance Adventure War,en,0,127.0,6.7,Martin Campbell
68490000,Action Adventure Fantasy,zh,193677158,120.0,6.0,Soi Cheang
80000000,Action History War,en,10166502,132.0,6.8,John Dahl
58000000,Action Adventure Comedy,en,783112979,108.0,7.4,Tim Miller
60000000,Drama Comedy,en,0,114.0,4.9,Stephen Herek
58800000,War Action,en,542307423,133.0,7.4,Clint Eastwood
58000000,Adventure Horror Comedy,en,158162788,103.0,6.2,Rob Letterman
58000000,Comedy Fantasy Romance,en,102854431,95.0,6.5,Mark Waters
83000000,Science Fiction Comedy Family Romance,en,59468275,90.0,4.4,Brian Levant
63000000,Action Adventure Thriller War,en,189015611,102.0,5.7,Peter MacDonald
58000000,Comedy Romance Drama,en,41299492,114.0,5.7,George Clooney
60000000,Comedy Western,en,0,119.0,4.9,Frank Coraci
58000000,Comedy,en,85280250,103.0,5.1,Marc Lawrence
58000000,Comedy,en,44000000,119.0,6.1,Shawn Levy
60000000,Action Adventure Horror Science Fiction,en,300228084,97.0,5.8,Paul W.S. Anderson
58000000,Drama Action Adventure History War,en,50365377,125.0,5.9,Anthony Hemingway
57000000,Drama Horror Mystery Thriller,en,152944660,144.0,7.2,Taylor Hackford
70000000,Comedy,en,58058367,116.0,5.5,Sean Anders
57000000,Fantasy,en,115267375,103.0,6.4,Rob Cohen
60000000,Action Comedy Crime Drama,en,61347797,97.0,6.0,Brett Ratner
57000000,Action Fantasy Thriller,en,149217355,95.0,4.7,Brian Taylor
57000000,Drama History Romance,en,62112895,131.0,5.5,John Madden
56000000,Action Comedy Drama Family Thriller,en,113006880,95.0,5.8,Adam Shankman
56000000,Adventure Drama Action Thriller,en,57223890,86.0,6.0,Kevin Bray
55000000,Comedy Drama Romance,en,677945399,142.0,8.2,Robert Zemeckis
60000000,Comedy Music Family Fantasy Animation,en,361366633,92.0,5.5,Tim Hill
55000000,Comedy Romance,en,330444045,108.0,6.6,Jay Roach
55000000,Adventure Animation Drama Family,en,346079773,81.0,6.7,Mike Gabriel
55000000,Action Adventure Fantasy Science Fiction,en,300218018,143.0,6.9,Richard Donner
54000000,Fantasy Comedy Romance Science Fiction,en,128769345,95.0,5.4,Tom Shadyac
70000000,Comedy Drama Romance,en,368100420,118.0,6.4,Andy Tennant
55000000,Adventure Comedy Family Romance,en,0,92.0,5.4,Sam Weisman
55000000,Comedy Romance,en,231449203,103.0,6.0,Jesse Dylan
55000000,Action Drama Thriller,en,95000000,134.0,7.6,Paul Greengrass
55000000,Comedy,en,152263880,97.0,5.9,Shawn Levy
50000000,Fantasy Comedy Family,en,287928194,100.0,6.0,Brad Silberling
55000000,Thriller Action Crime,en,192330738,132.0,7.1,Antoine Fuqua
55000000,Comedy Drama Romance,en,154906693,105.0,5.6,Wayne Wang
53000000,Action Thriller Drama,en,157387195,116.0,7.0,Tony Scott
55000000,Drama,en,307077295,117.0,7.7,Gabriele Muccino
55000000,Thriller Drama Mystery,en,223387299,98.0,6.1,Robert Schwentke
55000000,Drama Thriller Crime Mystery Romance,en,214015089,123.0,5.9,Barry Levinson
55000000,Drama Fantasy Romance,en,198685114,114.0,6.4,Brad Silberling
30000000,Action Crime,en,180949000,111.0,7.7,Quentin Tarantino
55000000,Comedy,en,0,97.0,6.0,Frank Oz
30000000,Action Crime Thriller,en,152159461,136.0,7.6,Quentin Tarantino
55000000,Action Adventure Comedy,en,63408614,104.0,6.1,Andrei Konchalovsky
55000000,Fantasy Comedy,en,149022650,104.0,6.3,Robert Zemeckis
55000000,Adventure Action Comedy Western,en,56932305,110.0,6.2,Tom Dey
55000000,Action Adventure Drama Thriller,en,121969216,133.0,5.8,Stuart Baird
55000000,Comedy Family,en,187361754,94.0,5.7,Mark Waters
55000000,Action Adventure Fantasy,en,127906624,104.0,6.3,Rob Minkoff
55000000,Animation Comedy Family,en,110000000,91.0,5.7,Jimmy Hayward
50000000,Science Fiction Action Horror,en,159773545,114.0,6.2,David Fincher
55000000,History Drama Music,en,141047179,134.0,5.9,Alan Parker
55000000,Action Thriller Crime Adventure,en,41610884,122.0,6.7,John Frankenheimer
50000000,Adventure,en,75000000,109.0,6.4,Stephen Hopkins
55000000,Family Comedy,en,259207227,95.0,7.0,Paul King
68000000,Comedy,en,68267862,98.0,5.3,Akiva Schaffer
55000000,Drama Action Thriller Crime,en,34234008,94.0,6.0,William Friedkin
80000000,Drama Mystery Thriller,en,0,126.0,6.2,Jon Turteltaub
55000000,Comedy,en,33828318,118.0,5.1,Bobby Farrelly
0,Comedy,en,33472850,91.0,5.4,Kent Alterman
60000000,Animation Adventure Family Comedy,en,118338361,88.0,6.4,Peter Lord
55000000,Crime Drama Mystery,en,113020255,141.0,7.3,Clint Eastwood
50000000,Action Drama Science Fiction Thriller,en,60209334,107.0,5.3,Andrew Davis
55000000,Drama Mystery Thriller,en,18626419,116.0,5.7,Tony Scott
70000000,Thriller Drama Romance,en,154648887,143.0,7.0,Joel Schumacher
55000000,Drama History Romance,en,74237563,114.0,6.6,Shekhar Kapur
62000000,Action Science Fiction,en,52304001,93.0,5.4,Karyn Kusama
56000000,Drama History War,en,12923936,214.0,6.1,Ronald F. Maxwell
55000000,Action Thriller Crime,en,11466088,100.0,5.2,Robert Butler
55000000,Comedy,en,0,107.0,5.7,Karey Kirkpatrick
50000000,Comedy Adventure Crime Family,en,80383290,112.0,6.2,James Bobin
57000000,Action Adventure Comedy Family Fantasy,en,28283637,95.0,4.2,Jonathan Frakes
55000000,Drama Romance,en,89519773,119.0,6.9,Steve Antin
47000000,Drama,fr,0,133.0,7.1,Jean-Pierre Jeunet
2000000,Drama Romance,en,9250000,153.0,7.3,Stanley Kubrick
55000000,Action Thriller,en,6416302,96.0,5.3,Jim Gillespie
54000000,Fantasy Horror Action Thriller,en,155010032,117.0,6.2,Guillermo del Toro
55000000,Drama,en,168167691,123.0,7.5,Gabriele Muccino
55000000,Action Crime Thriller,en,9489829,92.0,5.2,Walter Hill
54000000,Crime Drama Thriller,en,136766062,162.0,7.1,Francis Ford Coppola
57000000,Comedy Drama Romance,en,52034889,123.0,6.1,Cameron Crowe
54000000,Comedy Romance,en,130431368,108.0,5.4,Anthony Russo
54000000,Action Adventure Fantasy Science Fiction,en,190458706,127.0,6.5,Richard Lester
54000000,Drama,en,7266209,121.0,3.5,Martin Brest
55000000,Drama Thriller,en,9450897,125.0,5.7,Steven Zaillian
46000000,Action Adventure Crime Thriller,en,107196498,99.0,5.5,John Singleton
53000000,Animation Family,en,139804348,94.0,7.4,Gary Goldman
52500000,Drama Music Romance,en,179213434,127.0,7.4,Baz Luhrmann
75000000,Mystery Thriller Crime,en,54249294,89.0,5.4,Harold Becker
53000000,Crime Drama,en,98837872,122.0,6.3,Scott Cooper
90000000,War Drama History,en,65900249,132.0,6.7,Clint Eastwood
53000000,Drama Crime Thriller,en,126690726,109.0,7.2,F. Gary Gray
67000000,Thriller Action Horror,en,25037897,191.0,6.8,Robert Rodriguez
0,Drama Thriller,en,0,172.0,5.9,Jonathan Demme
0,Drama Romance,en,5761917,124.0,5.4,Curtis Hanson
52000000,Drama Crime,en,352114312,141.0,7.7,Steven Spielberg
40000000,Thriller Drama History,en,132820716,157.0,6.7,Kathryn Bigelow
52000000,Romance Comedy,en,204999686,106.0,5.6,Peyton Reed
52000000,Comedy Romance,en,609841637,108.0,6.4,Phyllida Lloyd
52000000,Comedy Romance,en,216485654,125.0,5.7,Garry Marshall
50000000,Action Adventure Comedy,en,110803676,104.0,5.1,Jay Chandrasekhar
52000000,Drama History War,en,98126565,170.0,7.2,Terrence Malick
52000000,Comedy,en,75450437,112.0,5.9,David Dobkin
82000000,Comedy Drama Romance,en,47434430,118.0,6.9,Milo\u0161 Forman
52000000,Drama Crime,en,116112375,178.0,7.8,Martin Scorsese
52000000,Action Crime Thriller,en,52826594,92.0,6.1,Pierre Morel
52000000,Action Comedy Fantasy,en,0,104.0,5.1,Paul Hunter
51000000,Comedy,en,149270999,116.0,6.1,Bobby Farrelly
51000000,Animation Comedy Family,en,72779000,90.0,5.3,Steve Oedekerk
0,Comedy Family,en,47231070,93.0,5.1,John Whitesell
50000000,Adventure Fantasy Drama Romance,en,709827462,130.0,5.6,Chris Weitz
60000000,Adventure Animation Comedy Family Fantasy,en,484409218,90.0,7.3,Andrew Adamson
50200000,Science Fiction Thriller Romance,en,127869379,106.0,6.5,George Nolfi
48000000,Adventure,en,390493908,143.0,6.6,Kevin Reynolds
50000000,Comedy Drama Romance,en,273552592,139.0,6.7,Cameron Crowe
50000000,Comedy Fantasy,en,549368315,106.0,6.3,Seth MacFarlane
50000000,Comedy Romance,en,314178011,139.0,7.2,James L. Brooks
50000000,Comedy Drama,en,202292902,115.0,7.0,Tom Shadyac
50000000,Comedy,en,173649015,119.0,6.0,Adam McKay
50000000,Comedy Romance,en,171269535,96.0,5.6,Steven Brill
50000000,Thriller Science Fiction Mystery,en,260095987,112.0,6.6,J.J. Abrams
52000000,Drama,en,256271286,131.0,7.1,Steven Soderbergh
50000000,Comedy Romance,en,177371441,116.0,6.3,Donald Petrie
50000000,Crime Comedy Action,en,188441614,112.0,7.0,Phil Lord
60000000,Horror Romance,en,223664608,123.0,7.2,Neil Jordan
70000000,Comedy,en,225990978,104.0,6.4,Peyton Reed
50000000,Action Comedy,en,216972543,107.0,6.2,Rawson Marshall Thurber
0,Drama Romance,en,0,124.0,6.9,Chris Columbus
50000000,Comedy,en,242786137,96.0,5.8,Sean Anders
50000000,Fantasy Comedy Music,en,212902372,125.0,5.6,Rob Marshall
45000000,Crime Drama Thriller,en,184376254,129.0,7.3,Spike Lee
90000000,Drama Action Thriller Crime,en,161626121,100.0,6.7,Brian Helgeland
50000000,Action Adventure Drama Mystery Science Fiction,en,152022101,109.0,5.0,Frank Marshall
50000000,Drama Comedy Family,en,120081841,124.0,6.5,Cameron Crowe
50000000,Action Adventure Drama Mystery Science Fiction,en,155446362,121.0,5.9,Alex Proyas
50000000,Comedy,en,88715192,97.0,5.5,Tom Dey
50000000,Drama Horror Thriller,en,161451538,110.0,5.4,Hideo Nakata
50000000,Comedy Drama Romance,en,142851197,118.0,7.0,Glenn Ficarra
50000000,Animation Comedy Family,en,200804534,80.0,5.2,Peter Hewitt
60000000,Comedy Family,en,0,99.0,5.2,Joe Roth
50000000,Drama,en,110206216,133.0,7.0,Bennett Miller
50000000,Action Drama Science Fiction Thriller,en,189859560,127.0,6.3,Wolfgang Petersen
50000000,Action Thriller Mystery,en,222809600,106.0,6.8,Jaume Collet-Serra
50000000,Adventure Family Fantasy Science Fiction Thriller,en,106303988,98.0,5.5,Andy Fickman
54000000,Action Thriller Fantasy,en,132511035,132.0,7.7,James McTeigue
50000000,Action Adventure Comedy Western,en,88323487,115.0,6.0,David Dobkin
50000000,Adventure Animation Comedy Family,en,69834815,86.0,6.2,Matthew O'Callaghan
50000000,Comedy Family Adventure Fantasy Romance,en,66002004,101.0,5.1,Angela Robinson
50000000,Thriller,en,100020092,113.0,6.0,Gary Fleder
50000000,Fantasy Horror Action,en,224803475,88.0,5.7,Tommy Wirkola
50000000,Thriller Drama,en,119137784,124.0,6.3,Adrian Lyne
50000000,Action Thriller Science Fiction Adventure,en,144492830,109.0,5.9,D.J. Caruso
50000000,Drama Thriller,en,94000000,128.0,6.3,Stephen Gaghan
50000000,Action Drama History Thriller War,en,69411370,144.0,7.0,Michael Bay
50000000,Romance Animation Adventure Comedy Family,en,97437106,95.0,7.3,Jorge R. Gutierrez
45000000,Thriller,en,82800000,105.0,5.6,Richard Loncraine
50000000,Crime Drama Thriller,en,50068310,121.0,6.4,Clint Eastwood
50000000,Action Drama,en,48169156,125.0,6.0,Ridley Scott
50000000,Drama Thriller Mystery,en,109423648,129.0,7.5,David Fincher
50000000,Horror Mystery,en,97607453,125.0,6.3,Christophe Gans
0,Comedy,en,0,118.0,6.1,Howard Deutch
50000000,Comedy,en,234989584,113.0,6.1,Jon Hurwitz
50000000,Action Adventure Crime Drama Mystery,en,44547681,140.0,6.8,F. Gary Gray
50000000,Action Thriller,en,160602194,89.0,5.8,Steven Quale
50000000,Action Comedy Crime,en,119208989,104.0,5.5,John Landis
50000000,Comedy Horror Fantasy,en,41482207,106.0,6.2,Joe Dante
50000000,Drama,en,83719388,141.0,7.2,David Dobkin
50000000,Action Thriller,en,0,124.0,5.8,Mimi Leder
45000000,Horror Action Science Fiction,en,129394835,94.0,6.1,Alexander Witt
50000000,Comedy Romance,en,40203020,108.0,6.1,Beeban Kidron
50000000,Thriller Crime Drama,en,55495563,105.0,6.1,Carl Franklin
50000000,Action Thriller,en,49000000,102.0,4.5,Steven Seagal
50000000,Adventure Family Science Fiction,en,69425966,92.0,4.4,Robert Rodriguez
40000000,Drama Adventure Romance Thriller,en,144056873,119.0,6.3,Danny Boyle
50000000,Drama Comedy Romance,en,49718611,119.0,5.9,Garry Marshall
40000000,Action Crime Thriller,en,60462347,99.0,6.2,James McTeigue
50000000,Drama Romance,en,0,137.0,6.3,Sam Raimi
50000000,Drama Thriller Crime,en,113309743,115.0,4.4,Andrew Bergman
50000000,Family Comedy,en,83761844,87.0,5.0,Tom Dey
50000000,Drama Fantasy,en,105197635,129.0,5.8,Clint Eastwood
50000000,Crime Drama Thriller,en,56714147,120.0,6.0,Barbet Schroeder
50000000,Action Adventure Crime Thriller,en,30303072,132.0,6.0,Richard Donner
50000000,Crime Drama Thriller,en,82169884,121.0,6.0,Peter Webber
50000000,Comedy Drama Romance,en,58900031,95.0,5.9,Rob Reiner
44000000,Action Adventure Romance Science Fiction Thriller,en,63327201,125.0,6.0,Andrew Niccol
50000000,Action Drama Mystery Thriller Crime,en,42792561,98.0,6.2,John McTiernan
50000000,Crime Drama Mystery Thriller,en,26199517,110.0,6.1,Clint Eastwood
50000000,Drama Thriller Crime,en,60161391,118.0,6.0,Tom Tykwer
50000000,Action Adventure Science Fiction Thriller,en,42277365,97.0,5.6,John Carpenter
70000000,Adventure Animation Family Fantasy Science Fiction,en,23159305,86.0,7.6,Brad Bird
50000000,Adventure Comedy Drama,en,34808403,119.0,7.1,Wes Anderson
50000000,War Action Drama History Thriller,en,25035950,139.0,6.6,Gary Ross
50000000,Drama Thriller Crime,en,38955598,130.0,7.3,Alan Parker
40000000,Comedy Action,en,0,100.0,5.4,Stephen Herek
50000000,Action Crime Drama Mystery Thriller,en,71561644,114.0,6.3,Jaume Collet-Serra
51500000,Thriller Crime Mystery,en,55112356,100.0,7.2,David Cronenberg
50000000,Action Thriller Adventure Crime,en,44434439,110.0,5.8,John Stockwell
60000000,Adventure Drama Action History War,fr,66976317,148.0,6.2,Luc Besson
49900000,Comedy,en,26121638,102.0,5.2,David Gordon Green
50000000,Drama Thriller Mystery,en,38502340,84.0,5.8,Jim Sheridan
50000000,Action Drama Thriller,en,10541523,114.0,5.9,Costa-Gavras
50000000,Action Adventure Comedy Family,en,16671505,99.0,5.8,Patrick Read Johnson
50000000,Drama History Romance,en,10382407,135.0,5.5,Roland Joff\u00e9
22000000,Drama Thriller,en,24188922,108.0,6.5,Doug Liman
50000000,Action Crime,en,22944502,127.0,6.0,Tony Scott
50000000,Action Thriller Mystery Romance,en,9851610,95.0,5.2,William Friedkin
50000000,Action Thriller Science Fiction,en,40828540,95.0,5.6,Brian Taylor
60000000,Fantasy Drama Romance,en,60052138,124.0,5.6,Richard LaGravenese
55000000,Comedy Crime Drama Thriller,en,0,109.0,5.9,Danny DeVito
50000000,Comedy,en,55969000,100.0,4.7,Ben Stiller
50000000,Comedy Crime,en,6808550,88.0,5.0,George Armitage
60000000,Comedy Drama Romance Science Fiction,en,0,105.0,5.4,Mike Nichols
50000000,Fantasy Thriller Action Crime,en,28931401,105.0,5.3,Patrick Lussier
50000000,Action Adventure Science Fiction Thriller,en,12764201,97.0,3.9,Andrzej Bartkowiak
49000000,Action Science Fiction Thriller,en,72700000,87.0,5.7,James Wong
49000000,Action Comedy Thriller Crime Mystery,en,20423389,104.0,6.2,Renny Harlin
50000000,Drama Comedy,en,36348784,116.0,7.2,Richard Curtis
48000000,Thriller Drama Crime,en,207515725,147.0,6.9,Steven Soderbergh
48000000,Adventure Action,en,474171806,127.0,7.6,Steven Spielberg
0,Drama Romance,en,68929150,130.0,6.5,Joe Wright
49000000,Crime Action Science Fiction,en,104399548,120.0,6.6,Neill Blomkamp
73000000,Drama Mystery Thriller Crime,en,151493655,118.0,6.5,Phillip Noyce
48000000,Crime Drama Thriller,en,196397415,111.0,6.5,David Fincher
0,Horror,de,0,0.0,4.3,Chuck Bowman
75000000,Action Adventure Comedy,en,108000000,114.0,6.6,David O. Russell
50000000,Crime Thriller,en,3324330,137.0,6.1,Daniel Espinosa
48000000,Adventure Comedy,en,85498534,112.0,6.0,Jerry Zucker
48000000,Drama Science Fiction,en,50315140,120.0,7.1,Iain Softley
0,Comedy Fantasy Romance Science Fiction,en,0,118.0,6.0,James Mangold
48000000,Fantasy Comedy Romance,en,90383208,93.0,5.6,Harold Ramis
58000000,Music Drama Crime Romance,en,25928721,127.0,6.6,Francis Ford Coppola
55000000,Western,en,70016220,122.0,6.9,James Mangold
48000000,Thriller Action,en,325771424,109.0,6.1,Olivier Megaton
48000000,Romance Comedy Crime,en,77745568,123.0,6.5,Steven Soderbergh
