budget,original_language,popularity,revenue,runtime,vote_average,vote_count,director,critique_success
140000000,en,54.159392,431971116,133,5.8,1092,Lee Tamahori,0
144000000,en,66.21806,229147509,116,5.3,2142,Paul Feig,0
140000000,en,58.485967,553799566,151,6.4,2482,Michael Bay,1
140000000,en,91.332849,441818803,88,6,3114,Barry Sonnenfeld,0
70000000,en,35.601665,195735876,115,5.5,841,Robert Zemeckis,0
145000000,en,56.747978,521170825,95,6.7,1603,Jennifer Yuh Nelson,1
145000000,en,77.77477,694713380,133,6.8,3972,Brad Bird,1
145000000,en,61.788035,306941670,97,7.1,1922,Peter Ramsey,1
100000000,en,25.159168,202026112,90,5.9,627,Dean Parisot,0
140000000,en,52.341226,456758981,154,7.3,1895,Edward Zwick,1
140000000,en,101.599427,268031828,150,5.6,1921,Ridley Scott,0
150000000,en,73.616808,385680446,127,7.4,4518,J.J. Abrams,1
139000000,en,82.502566,821708551,121,6.8,5265,Sam Raimi,1
145000000,en,100.21391,609123048,102,7.6,3106,Dean DeBlois,1
140000000,en,56.257249,150680864,127,5.3,1277,Alex Proyas,0
135000000,en,17.88953,76932943,121,4.9,331,Rob Cohen,0
130000000,en,64.798873,185258983,163,7,2811,Zack Snyder,1
140000000,en,24.855701,285444603,127,6.3,767,Richard Donner,1
137000000,en,34.981698,245360480,138,5.3,1533,Ang Lee,0
130000000,en,59.325589,371876278,110,5.4,3025,Jon M. Chu,0
130000000,en,21.605568,119269486,124,5.7,434,Breck Eisner,0
137000000,en,26.074908,85131830,106,5.9,433,Hironobu Sakaguchi,0
140000000,en,74.506246,370569774,124,6.6,7047,Joe Johnston,1
135000000,en,39.604363,361832400,128,6,862,Michael Apted,0
150000000,en,36.973031,212011111,138,6.9,790,Peter Weir,1
120000000,en,99.687084,829000000,115,6.1,2553,Bill Condon,1
130000000,en,17.7735,150406466,100,5.8,373,George Miller,0
150000000,en,62.898336,163712074,114,6.1,3021,Louis Leterrier,1
140000000,en,44.19092,183345589,120,6,1000,Steven Spielberg,0
135000000,en,100.635882,532950503,156,7.3,6396,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu,1
135000000,en,44.765377,282570682,96,6.1,1074,David Soren,1
135000000,en,29.91353,245724603,107,6.6,2051,Gore Verbinski,1
132000000,en,84.366984,373552094,92,6.5,1346,Eric Darnell,1
70000000,en,45.381501,442824138,115,7.3,2888,Paul Greengrass,1
130000000,en,84.689648,631744560,90,6.9,3145,Mark Osborne,1
130000000,en,120.09361,519311965,117,7,5880,Peyton Reed,1
130000000,en,76.310119,847423452,146,7.4,6495,Francis Lawrence,1
135000000,en,63.473086,368871007,94,6.8,1519,Tim Johnson,1
132000000,en,48.572726,591739379,116,6.2,2322,Steven Spielberg,1
130000000,en,38.068736,273339556,147,6.3,1564,Michael Bay,1
130000000,en,20.678787,554987477,90,6.4,451,Chris Miller,1
110000000,en,48.829437,293329073,100,6.2,2093,Phillip Noyce,1
125000000,en,46.115758,362637473,139,5.6,2350,Darren Aronofsky,0
130000000,en,89.938296,371940071,107,6.7,2061,Steven Spielberg,1
130000000,en,79.679601,789804554,141,7.7,5877,Alfonso Cuar\u00f3n,1
130000000,en,28.840997,49554002,165,6.3,694,Baz Luhrmann,1
130000000,en,42.840582,243843127,100,5,2532,M. Night Shyamalan,0
127500000,en,26.548594,354248063,82,6.2,542,Ralph Zondag,1
127000000,en,115.597753,349424282,97,6.1,1851,Shawn Levy,1
130000000,en,68.757242,321887208,95,6.7,1918,Tom McGrath,1
125000000,en,109.984351,976475550,152,7.5,7006,Chris Columbus,1
130000000,en,39.448066,61648500,96,5.4,1260,Robert Schwentke,0
140000000,en,271.972889,655011224,143,7.5,6985,Gore Verbinski,1
125000000,en,206.227151,752100229,123,6.6,5584,Francis Lawrence,1
125000000,en,45.313197,767820459,149,6.5,2704,Ron Howard,1
103000000,en,42.40024,500188435,102,6.3,978,Carlos Saldanha,1
110000000,en,2.871739,407711549,133,6.8,3506,Bryan Singer,1
125000000,en,7.255718,626137675,130,7.1,2438,Justin Lin,1
125000000,en,81.499621,334615000,129,7,3886,Guy Ritchie,1
125000000,en,47.686442,232713139,106,5.6,2233,Louis Leterrier,0
65000000,en,43.129703,261317921,113,7.1,1710,Paul Verhoeven,1
160000000,en,27.220157,61698899,102,6.4,510,John McTiernan,1
130000000,en,90.33681,276572938,120,6,2651,Tony Gilroy,0
125000000,en,50.073575,238207122,125,4.2,1418,Joel Schumacher,0
123000000,en,45.419668,345141403,104,6.2,1386,Ron Howard,1
125000000,en,41.380094,544272402,124,6.2,2392,Roland Emmerich,1
125000000,en,54.931334,546388105,123,5.9,1928,John Woo,0
120000000,en,25.752118,325756637,130,6.2,597,Wolfgang Petersen,1
130000000,en,60.810723,289047763,92,5.4,2589,Tim Story,0
120000000,en,51.328145,609016565,127,7.2,5797,Ang Lee,1
110000000,en,46.834704,228738393,114,5.2,1712,Mark Steven Johnson,0
120000000,en,62.641286,415484914,123,5.9,2341,Paul Greengrass,0
120000000,en,33.616115,259175788,106,5.2,914,McG,0
130000000,en,68.889395,403170142,124,6.3,5080,Ridley Scott,1
120000000,en,27.990284,169956806,78,5.4,613,Rob Minkoff,0
115000000,en,67.33767,286140700,109,6.4,3439,Neill Blomkamp,1
105000000,en,27.835436,115772733,119,6.3,1570,David Twohy,1
120000000,en,66.757869,242688965,102,5.7,2342,Jos\u00e9 Padilha,0
120000000,en,17.060695,93945766,135,5.7,354,Lilly Wachowski,0
120000000,en,11.137655,48668907,121,4.9,223,James L. Brooks,0
117000000,en,44.906918,261930431,109,5.9,1547,James Mangold,0
120000000,en,67.698004,286168572,124,6.4,4800,Joseph Kosinski,1
113000000,en,44.108427,850000000,140,7.1,4116,George Lucas,1
120000000,en,43.987061,649398328,142,6.4,3992,George Lucas,1
115000000,en,106.815545,562816256,92,7.5,5996,Pete Docter,1
120000000,en,15.953444,415440673,126,6.3,4053,James Mangold,1
115000000,en,54.035265,924317558,136,6.3,4432,George Lucas,1
135000000,en,64.183321,585178928,98,6.8,2399,Chris Sanders,1
97250400,fr,20.344364,132900000,116,5,471,Thomas Langmann,0
115000000,en,18.714197,77628265,134,5.8,341,John Woo,0
115000000,en,60.467984,164602163,114,6,1523,Cedric Nicolas-Troyan,0
125000000,en,143.350376,477200000,101,5.8,2636,Jonathan Liebesman,0
105000000,en,110.153618,716392705,91,7.3,5751,Alfonso Cuar\u00f3n,1
