budget,genres,original_language,revenue,runtime,vote_count,director,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Fiction,Foreign,History,Horror,Movie,Music,Mystery,Romance,Science,TV,Thriller,War,Western,succes_critique
237000000,Action Adventure Fantasy Science Fiction,en,2787965087,162.0,11800,James Cameron,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,1.0
300000000,Adventure Fantasy Action,en,961000000,169.0,4500,Gore Verbinski,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
245000000,Action Adventure Crime,en,880674609,148.0,4466,Sam Mendes,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
250000000,Action Crime Drama Thriller,en,1084939099,165.0,9106,Christopher Nolan,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1.0
260000000,Action Adventure Science Fiction,en,284139100,132.0,2124,Andrew Stanton,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,0.0
258000000,Fantasy Action Adventure,en,890871626,139.0,3576,Sam Raimi,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
260000000,Animation Family,en,591794936,100.0,3330,Byron Howard,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
280000000,Action Adventure Science Fiction,en,1405403694,141.0,6767,Joss Whedon,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1.0
250000000,Adventure Fantasy Family,en,933959197,153.0,5293,David Yates,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0
250000000,Action Adventure Fantasy,en,873260194,151.0,7004,Zack Snyder,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.0
270000000,Adventure Fantasy Action Science Fiction,en,391081192,154.0,1400,Bryan Singer,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,0.0
